gene,lfc_urban,padj_urban,lfc_rural,padj_rural,delta_response
RP5-857K21.4,0.08779625176761727,0.2542255456800832,-0.2659564546784511,9.732182570671317e-07,0.3537527064460684
RP11-206L10.9,-0.32390727965874555,0.0015108392863279897,-0.23313981603704756,0.015367336473935332,-0.09076746362169799
NOC2L,0.04312825922709069,0.7416469363138352,0.016127955993988353,0.8199482272660827,0.027000303233102336
ISG15,1.9945618192536314,0.0,0.8688581956461698,1.4338141043043567e-263,1.1257036236074616
C1orf159,0.07458388434952061,0.43165476396286423,-0.07369190311293462,0.419380124333085,0.14827578746245523
SDF4,-0.17962685460115627,0.008955881416205588,-0.009913918616332078,0.9709906702825565,-0.16971293598482418
UBE2J2,-0.05362553597833195,0.41737512450982317,-0.04153569610366819,0.5871948886806266,-0.012089839874663763
AURKAIP1,0.0363781882224234,0.45958564405720165,0.0030394493463969095,0.8360953909493275,0.03333873887602649
CCNL2,0.02973897885038965,0.6818633198272264,-0.14066239457498222,0.00993174536266349,0.17040137342537187
MRPL20,0.07882339283666731,0.049517144714048215,0.020087608108050613,0.5834540624533299,0.058735784728616694
SSU72,-0.09121792704225096,0.04101721212468646,-0.09568219668965094,0.01957038070324561,0.004464269647399988
MMP23B,-0.11077562937395254,0.27530304998985206,-0.2736760488179463,0.0009486690609469803,0.1629004194439938
CDK11B,-0.032737759771687636,0.6972517991222273,-0.057440149405699754,0.3352721634038809,0.02470238963401212
SLC35E2B,-0.1565725964641899,0.02920120854982661,-0.2719895772031653,8.042264969849688e-06,0.11541698073897541
CDK11A,-0.04686614227183463,0.5101077635503818,-0.03936223892809615,0.4569374510792942,-0.007503903343738481
SLC35E2,-0.2956398407460331,0.001555251655538278,-0.18284352996233116,0.06413109645236194,-0.11279631078370195
NADK,0.14249657299050614,0.05998309580733206,0.08332244790469938,0.22999704205550364,0.05917412508580676
GNB1,0.033767747141805846,0.25728701415098565,-0.03204340445729107,0.2960403066319734,0.06581115159909692
FAAP20,-0.12453204644164449,0.02606679049200115,-0.027129982560861198,0.705118830564308,-0.09740206388078329
SKI,-0.18905441609517099,0.051750677550932885,-0.17618013949751157,0.026937318775321104,-0.012874276597659412
RER1,0.05953263679158229,0.2650847260452963,-0.020913652086269698,0.7290010379901656,0.08044628887785199
TNFRSF14,-0.13652002240741729,0.0021033338663089926,-0.216974579874087,1.0380216775702331e-08,0.08045455746666971
CEP104,-0.1345409105313452,0.06871818865042931,-0.05180385707527104,0.5011015971941152,-0.08273705345607416
C1orf174,0.04671377699136033,0.6491910896597093,-0.07808199632420171,0.3755707547346015,0.12479577331556205
KCNAB2,-0.4584699406883449,2.1058460287137232e-10,-0.32583036931128895,2.8567713497794695e-07,-0.13263957137705595
RPL22,-0.05649535758412768,8.237514768994429e-07,-0.12317786596495614,2.43627977626218e-31,0.06668250838082845
NOL9,-0.002939767005975767,0.9664554672304825,-0.1399363776111144,0.03321871201468118,0.13699661060513865
DNAJC11,0.08700270286706335,0.3208166889020627,-0.12573514264671953,0.040569985742322665,0.21273784551378289
CAMTA1,-0.006331507810897133,0.8969738221234241,-0.09835441925560609,0.004846123483953382,0.09202291144470896
PARK7,-0.02486421030965786,0.5140372137284879,-0.07038268742361546,0.021977765242383557,0.0455184771139576
RERE,0.10552149864328605,1.136714165260197e-06,-0.02223827481273179,0.4222277084984923,0.12775977345601786
ENO1,0.15843595147357034,1.6861163999600995e-05,0.060155486686008126,0.0870452028641846,0.09828046478756222
SLC25A33,0.13273576215352997,0.11727722350878786,-0.06788749448974708,0.4054209575036823,0.20062325664327707
PIK3CD,0.05972348960347335,0.11370841848052346,-0.05376012630541886,0.12153227741537728,0.11348361590889222
PIK3CD-AS2,0.005869368058827159,0.9532612869191793,-0.1746501827468618,0.02884673721970835,0.18051955080568896
CLSTN1,-0.15743489788036727,0.003817420770038807,-0.057180673782112786,0.3251080673715969,-0.10025422409825449
LZIC,-0.1354349934919189,0.0454413420462205,-0.0012397601043623945,0.9492218986747124,-0.1341952333875565
NMNAT1,0.051618200727683534,0.6115440381806944,-0.19189551161046103,0.013883063193268284,0.24351371233814456
UBE4B,-0.09848614186943258,0.03121878644520248,-0.16556208739259728,2.2971098422715396e-05,0.0670759455231647
KIF1B,-0.06705728695106176,0.4585104950588361,-0.004112151194339967,0.956616218893671,-0.0629451357567218
PGD,0.04291991118711556,0.6893745378155047,-0.216041839832869,0.0036676987633532197,0.2589617510199846
DFFA,0.019682147901947333,0.8896203737968995,-0.0087817201927575,0.957545752907116,0.028463868094704834
PEX14,0.13534071677153142,0.014906408151623366,0.15011958778051637,0.0013164793195698436,-0.01477887100898495
TARDBP,0.09397752280454703,0.12405869979127093,-0.16184462031634345,0.002583211320694851,0.25582214312089047
SRM,0.11403176216755996,0.08716462117978682,-0.02625675760613453,0.7267482150007603,0.1402885197736945
EXOSC10,0.052310805135881405,0.45099422474572687,-0.023397868761784235,0.7660426589621786,0.07570867389766564
MTOR,0.06287173723722875,0.34434426470364277,-0.08358553583245489,0.14942713799082724,0.14645727306968365
MTHFR,-0.11459677067841058,0.19578211275306004,-0.1401774048938717,0.05006595400987095,0.025580634215461126
CLCN6,-0.13340095793647086,0.034621250887540166,-0.1575509059865695,0.0029009467952947347,0.024149948050098652
KIAA2013,-0.043127740306468126,0.7387896941462866,-0.0744286181240253,0.36844167771930847,0.03130087781755718
TNFRSF1B,-0.32009043929018605,3.328394598145863e-05,-0.02492088346410544,0.8018509072769033,-0.2951695558260806
VPS13D,-0.11080693933395204,0.0058295652369368635,-0.11015659041232097,0.0028236415253000123,-0.000650348921631072
PRDM2,-0.38818662234768464,1.8735199785082681e-69,-0.310823032365185,4.413972627602592e-47,-0.07736358998249965
EFHD2,0.1618631978072278,0.02186351974947279,-0.05414110018621586,0.4249528869938028,0.21600429799344367
DNAJC16,0.019069949098172,0.8511332985497161,-0.05003525063581919,0.4581378496452301,0.0691051997339912
DDI2,-0.004797756882696714,0.9412858660898755,-0.1467640556721646,0.005027134007671096,0.1419662987894679
PLEKHM2,-0.05636531686051339,0.4068101069994164,-0.13072777596807955,0.005862988692918199,0.07436245910756617
FLJ37453,-0.08618544874142214,0.4349004817622562,-0.1814157239550104,0.042488939193456435,0.09523027521358826
SPEN,-0.02378241890552216,0.5707178777025665,-0.04489760373958547,0.25453955640486187,0.02111518483406331
FBXO42,-0.08696216871147162,0.07345504935060794,-0.13066242165470401,0.002477859619209042,0.04370025294323239
SZRD1,0.18233051511813714,6.583380467652949e-05,0.016528357031983257,0.6837764520338472,0.1658021580861539
NECAP2,0.0298204758715007,0.7154459202797143,-0.07351051427663875,0.2895236049404129,0.10333099014813946
CROCC,-0.2833360839534867,0.0006916419180876019,-0.11269850035932054,0.1846468075756273,-0.17063758359416614
SDHB,0.0008885062654025843,0.9868671871211614,-0.011356511291542007,0.949422039490253,0.012245017556944592
RCC2,-0.02424082745996609,0.7662874525767825,-0.12007534271139442,0.031326859469486476,0.09583451525142833
UBR4,-0.016088636081156935,0.7932451523764884,0.04678846173905239,0.2541739046584268,-0.06287709782020932
RP1-43E13.2,-0.10716871242908736,0.26159261941696316,-0.002019966144274609,0.928690952337771,-0.10514874628481276
MRTO4,0.2256502316912087,0.008968213199697352,0.06671462501377942,0.3831134498499079,0.1589356066774293
CAPZB,-0.022708886301103036,0.5499922231329217,-0.09405333876070046,0.001833503629177866,0.07134445245959742
MINOS1,0.05023407635042473,0.3575527144131153,-0.013042061775389165,0.8580742545109422,0.0632761381258139
TMCO4,0.22569408084059506,0.001635724145138201,-0.1471838165167249,0.012953510358951663,0.37287789735731997
DDOST,-0.02701978711304392,0.7674840399599708,-0.03647907636403981,0.6311680915536099,0.00945928925099589
HP1BP3,-0.0704078357577012,0.014387219675192384,-0.11858066270443472,1.1775998736203837e-06,0.04817282694673353
EIF4G3,0.31086830442356084,3.987575005291359e-49,0.11555506378639933,2.9717395327962517e-10,0.1953132406371615
ECE1,0.6773959895226862,7.508032380926261e-62,0.32587910486769245,7.70286244828175e-21,0.35151688465499376
USP48,-0.022134482708390288,0.6553357340366334,-0.11075451458858108,0.0011354579527710288,0.0886200318801908
CDC42,0.018332518467514988,0.5109286213912011,-0.05865745565439113,0.012272270277802623,0.07698997412190611
ZBTB40,0.017759403286425907,0.8384451355736098,-0.029858907951151915,0.7569118122756786,0.04761831123757782
KDM1A,-0.08144656456933975,0.21206532604221612,-0.15325986914581918,0.006188918587830115,0.07181330457647943
LUZP1,-0.08337091542064194,0.39471460121537344,-0.18168392108785159,0.03035237258702953,0.09831300566720964
HNRNPR,0.07336964749952873,0.019537667683076312,-0.0306321475740237,0.33909477887149714,0.10400179507355244
ID3,-0.17976491696215496,8.233855121197167e-06,-0.11730419490319906,0.0017310539558987794,-0.062460722058955906
RPL11,-0.05621808447898773,7.40460641333871e-10,-0.12170479152207261,7.804104173394682e-55,0.06548670704308487
TCEB3,-0.07742230767632975,0.37802173488634505,-0.08914585365738575,0.308308754891957,0.011723545981056002
TCEB3-AS1,-0.19877683608432045,0.04563025112155305,-0.11297119280456752,0.24062445369169633,-0.08580564327975293
PITHD1,-0.11724756689206742,0.06838578415615519,-0.14929617257118222,0.011867194766860033,0.0320486056791148
HMGCL,-0.061693501119360415,0.5612046671728343,-0.02462813888905078,0.8212324632348995,-0.03706536223030964
CNR2,-0.4893341645605303,4.065500377027067e-23,-0.26924818531496697,8.642527497792331e-09,-0.22008597924556333
PNRC2,0.07450919446558127,0.04837598880651755,0.0314052728734627,0.31294458995824176,0.043103921592118566
SRSF10,0.06271429126236885,0.06842488359253514,0.01695058951840496,0.533717058409992,0.045763701743963894
IFNLR1,-0.09649859275635853,0.17387373077553106,0.03890459633012559,0.43599771522899,-0.13540318908648413
NIPAL3,-0.13956865184120248,0.05668528298239909,-0.09561349161383423,0.13864625874049652,-0.043955160227368256
RCAN3,-0.09436296918343402,0.16345202400189,-0.17846222368785,0.0005083017784533978,0.08409925450441598
SRRM1,0.045345356675244766,0.10552399464321743,-0.031782941441838866,0.28827157538132236,0.07712829811708363
CLIC4,-0.19554220779341097,3.15871523234598e-08,-0.12283917365731192,0.0004603883012695276,-0.07270303413609905
