gene,lfc_urban,padj_urban,lfc_rural,padj_rural,delta_response
RP5-857K21.4,-0.22003019846527563,4.2623336852322716e-05,0.03636054993483283,0.5574258481109415,-0.25639074840010845
NOC2L,-0.12208627724308287,0.10583311255696784,-0.1603152001673564,0.031463070749089245,0.03822892292427353
ISG15,1.8397406879114382,0.0,0.9140329369545089,0.0,0.9257077509569293
C1orf159,-0.041621684625167146,0.5914350463720089,-0.03720583598074515,0.6460538670406908,-0.004415848644421995
SDF4,-0.11891445730704836,0.039125537484281915,-0.1502562831767681,0.024035222183499377,0.03134182586971973
UBE2J2,-0.03345326324275129,0.6619698218056441,-0.0010966800056585932,0.9976088594338895,-0.032356583237092694
AURKAIP1,-0.023437131642264002,0.6028208030938027,-0.00413777807147444,0.9584371557521393,-0.019299353570789563
CCNL2,-0.16737859185744153,0.00316016100505284,-0.09279285298705787,0.1291416587392777,-0.07458573887038365
MRPL20,0.042086397947060886,0.2048942094246064,-0.01475016802978974,0.8056876552480831,0.05683656597685063
SSU72,-0.10541672128465775,0.006501763350361124,-0.09355387380427924,0.02122425642904744,-0.01186284748037851
MMP23B,-0.347188405443298,1.1492358006110735e-05,-0.1963046637174722,0.02167156708112713,-0.15088374172582578
CDK11B,-0.11744990029343662,0.02586723402394681,0.04305419911829096,0.4158459806811966,-0.16050409941172758
SLC35E2B,-0.3841121242789558,1.1110132435094767e-10,-0.21649507922908998,0.0004064463912699415,-0.16761704504986583
CDK11A,-0.09044496901813072,0.0680548028790242,0.06399179355504722,0.1954648653133134,-0.15443676257317795
NADK,-0.002977095111007561,0.9712522858309854,0.06911108669489482,0.33110068550361044,-0.07208818180590239
GNB1,-0.06194565817318388,0.01275986788794725,-0.025650511407786316,0.40891059800863566,-0.036295146765397565
FAAP20,-0.07633362990862728,0.12163930707149345,-0.07258045902549971,0.1544974246295723,-0.003753170883127571
SKI,-0.274288602339227,0.0002520791826676018,-0.3483077849186187,4.13750007050297e-05,0.07401918257939172
RER1,-0.07356491540199897,0.10225864382773335,0.02983365901297724,0.5244342944416945,-0.10339857441497621
TNFRSF14,-0.20061865883799887,1.004141726598254e-06,-0.17371559279232898,4.172031994195312e-06,-0.026903066045669888
CEP104,-0.09958876248753189,0.08154450489233668,-0.04262855585989888,0.5946584500351966,-0.05696020662763301
C1orf174,-0.09569138042674022,0.21679830996054214,-0.006033068972613284,0.964857244416281,-0.08965831145412693
KCNAB2,-0.4023541147704572,1.0827030473710055e-09,-0.26601517313822004,0.00010837320215891437,-0.13633894163223714
RPL22,-0.12996643138976322,4.0622673231659124e-37,-0.09165876433202892,1.0362698360521626e-17,-0.03830766705773429
NOL9,-0.08541364389401118,0.189631922005144,-0.05011433707368936,0.4964518616412187,-0.03529930682032182
DNAJC11,-0.10129460575971484,0.1179949229052898,-0.009545432116527303,0.9413850358295287,-0.09174917364318753
CAMTA1,-0.0762848631147163,0.027167097877893672,-0.05289616380858118,0.17242732039389447,-0.023388699306135123
PARK7,-0.046831091023087565,0.1450650122215342,-0.06326838251909442,0.03894373304593215,0.016437291496006853
RERE,0.0013098440923953241,0.8775078405956341,0.011778607581417624,0.5428957816171655,-0.0104687634890223
ENO1,0.1530939879065587,4.389178628601315e-06,0.0013695193581934825,0.9212814965552015,0.15172446854836522
SLC25A33,0.012216142658121537,0.8400738715108004,-0.07947711913241956,0.3454040102294269,0.0916932617905411
PIK3CD,0.009367161694696658,0.7369440092170341,-0.017061734423586265,0.7225177635181471,0.026428896118282925
PIK3CD-AS2,-0.18165763581419983,0.015428579900197909,-0.1676344689016618,0.05783126813082944,-0.014023166912538021
