gene,lfc_urban,padj_urban,lfc_rural,padj_rural,delta_response
FO538757.2,-0.23237665520925216,1.1005937225093566e-07,-0.14372602294752695,0.0027880107615323017,-0.0886506322617252
RP5-857K21.4,-0.10235774770784307,0.003154259138104791,-0.006492387277865264,0.9190214869151244,-0.09586536042997781
NOC2L,0.024754533530878756,0.5644238758843755,-0.04500153688203469,0.44442809577477027,0.06975607041291344
ISG15,1.8097675447714945,0.0,1.1855167256871473,0.0,0.6242508190843472
C1orf159,0.039820573118138136,0.4029885857864262,-0.008073819880537639,0.9051327866166271,0.047894392998675775
SDF4,-0.023598127965997664,0.5414620287605016,-0.025003196651334547,0.527050628117239,0.0014050686853368834
UBE2J2,-0.048454918628788216,0.16142585851854907,-0.016930801040019733,0.689133720604076,-0.03152411758876848
AURKAIP1,0.1190296892557501,4.576439178573972e-07,0.034175581509969334,0.19513826292368075,0.08485410774578075
CCNL2,-0.05542962879896765,0.10092442638555227,-0.02996690548510756,0.41529499123662234,-0.02546272331386009
MRPL20,0.057865888986980696,0.005348290707987418,0.05884188084935398,0.013083775769207872,-0.0009759918623732863
SSU72,-0.030720772926596137,0.18960578240927226,-0.08086389353357264,0.0004365937129284062,0.050143120606976496
MMP23B,-0.3506414263974949,4.8273979780657806e-20,-0.2054958378143504,1.1590057635587937e-06,-0.1451455885831445
CDK11B,-0.07954866284969384,0.003961821378243347,-0.007312297264510701,0.8634126905555437,-0.07223636558518313
SLC35E2B,-0.2872183275741295,6.6449991131958765e-19,-0.28739714939797684,2.591786976602052e-16,0.00017882182384731937
CDK11A,-0.028064752156691214,0.35529496693828594,0.008442159788908027,0.7969033011613336,-0.03650691194559924
GNB1,-0.022802826902640308,0.15066438497945328,-0.005472057637214749,0.8005290055652811,-0.01733076926542556
FAAP20,-0.0005168574349303229,0.9740402282445787,-0.11214934348166407,0.00474603619626549,0.11163248604673374
SKI,-0.3849187568653694,4.525747713384436e-30,-0.28263008090302666,5.829785290079819e-16,-0.10228867596234276
RER1,0.01969442433337878,0.4161052261570213,0.005970947743664117,0.8290761253663634,0.013723476589714664
TNFRSF14,0.04429395479687968,0.10918786179582511,0.048664459121165314,0.10661976916612184,-0.004370504324285637
CEP104,-0.15208526998835176,7.1890818718433444e-06,-0.05587007806873167,0.14087906548471724,-0.09621519191962008
C1orf174,-0.0780589738027854,0.04371160722461107,-0.023386717897103122,0.6033982678017771,-0.054672255905682275
KCNAB2,-0.4056196331989551,3.645481744286936e-48,-0.43573039055579965,3.057959925891628e-41,0.030110757356844542
RPL22,-0.12339712777724597,1.128665711040577e-43,-0.12185245378714737,7.74641571264049e-38,-0.0015446739900985967
NOL9,-0.09897192682080258,0.019317686778086353,0.01254463804249448,0.764373802367797,-0.11151656486329706
DNAJC11,-0.016208432225266693,0.7468090355436132,-0.03174690862226667,0.5679564100180331,0.01553847639699998
CAMTA1,-0.03449442967545703,0.15397560821521858,-0.03164628292961611,0.24199805530175092,-0.0028481467458409196
PARK7,0.02251682073238203,0.2172340597859018,-0.0012006088031107079,0.9930926997445931,0.02371742953549274
RERE,0.0031657257059417602,0.8263191026800522,-0.0011185761474390267,0.9844093637659231,0.004284301853380787
ENO1,0.3189925201941256,2.971147051503126e-71,0.10179619052163305,4.70625543120508e-07,0.21719632967249256
PIK3CD,0.2583464617662795,1.9883102945404484e-65,0.16424656506972038,3.940481250803925e-22,0.09409989669655913
PIK3CD-AS2,0.1931626359291881,7.119630204572156e-07,0.10202980004146484,0.03199898335885686,0.09113283588772325
CLSTN1,-0.06248112437431488,0.011578574458144792,0.022019002107553594,0.42910278113923356,-0.08450012648186847
LZIC,-0.02792187438070649,0.4364300853899423,-0.018958594005004152,0.6339169856181366,-0.008963280375702338
UBE4B,-0.18940308664561045,5.1730514135551223e-17,-0.1243192731623266,1.3212046703118879e-06,-0.06508381348328385
KIF1B,-0.15286542068588166,1.0462309339502165e-06,-0.15956694470094906,3.1431804423659862e-06,0.006701524015067406
DFFA,-0.0428460595101824,0.35845805886360815,-0.03773882557124013,0.45933850812002336,-0.005107233938942274
PEX14,-0.02330051372655123,0.46550534581529657,0.05235087162736545,0.11074138153812396,-0.07565138535391669
TARDBP,-0.22663690112104537,1.823917418316486e-11,-0.16416967010734185,1.393986540846824e-05,-0.06246723101370352
SRM,-0.18224285493724396,2.2275925557925665e-06,-0.1630641754622051,4.914116413811513e-05,-0.019178679475038846
EXOSC10,-0.008940187881015225,0.8655348076173139,-0.048899824820416805,0.25286511067018036,0.03995963693940158
MTOR,-0.14155120865211374,2.078213213585231e-06,-0.029446149498488637,0.441708997223695,-0.11210505915362509
KIAA2013,-0.10480725664430265,0.019930481677672245,-0.10449682508849215,0.020257946398034344,-0.00031043155581050863
TNFRSF1B,-0.1994999703299122,1.173019669407965e-17,-0.16291908625954188,2.5928275330457337e-10,-0.03658088407037033
VPS13D,-0.12142607490440212,1.5729770423987215e-09,-0.10865781188123935,2.7516818308678803e-06,-0.012768263023162765
PRDM2,-0.07702617112934987,1.809436886879046e-05,-0.10594264615805093,9.639788746656109e-08,0.028916475028701066
EFHD2,-0.20196880353799068,2.7633754841248314e-45,-0.21693721469395486,7.630198971637628e-43,0.014968411155964173
DNAJC16,-0.08164634113339382,0.03909975540687314,-0.05435771621635327,0.18638233510785693,-0.027288624917040552
DDI2,-0.11448903634940956,0.00011450035472820733,-0.12186908912355092,0.00026136472185610005,0.00738005277414136
PLEKHM2,-0.06672446173254201,0.11959655501468144,-0.031141788369206412,0.5357120134888882,-0.0355826733633356
SPEN,-0.13781361448601678,1.136830078499032e-10,-0.12894491732885605,8.98269781177654e-08,-0.008868697157160738
FBXO42,-0.11059623277904995,2.4881529940943837e-06,-0.11015716652857697,6.976716345146719e-05,-0.00043906625047297754
SZRD1,0.14841625464714758,7.59135628721644e-08,0.12243863232100709,3.398473240187009e-05,0.025977622326140495
NECAP2,0.040502285516010275,0.21586179152123341,0.05792448506567045,0.11157569230530055,-0.017422199549660178
CROCC,-0.25150376384634615,2.8060939198401803e-12,-0.24431844113572346,1.9079645859552953e-08,-0.0071853227106226936
SDHB,-0.014870242401910849,0.6998330431868636,-0.016581185692091084,0.6705428515226746,0.0017109432901802352
RCC2,-0.0062226412029642835,0.8994657568690048,0.05502306722138118,0.20573818041057082,-0.061245708424345464
UBR4,-0.09209933925463065,0.0005578276173211444,-0.07221788929562035,0.014264924386189868,-0.019881449959010297
RP1-43E13.2,-0.05191060341416568,0.2508639722447195,-0.07214291829350589,0.15702608265417523,0.020232314879340206
AKR7A2,-0.1939657426094464,1.1487789825350928e-05,-0.16020414235553615,0.0016257704325979465,-0.03376160025391026
CAPZB,0.011451239156325892,0.5028370778233608,0.009267540131823973,0.6266228300910817,0.0021836990245019186
MINOS1,-0.015534074698313482,0.5291500807551891,-0.019914970752579343,0.49976473093919627,0.004380896054265861
TMCO4,-0.0011732600482589877,0.9651809356030258,-0.042807831240002245,0.35137081077210786,0.041634571191743255
CAMK2N1,-0.15729429442233364,0.0010016577485580992,-0.20151691527735816,6.341009188935216e-05,0.044222620855024514
DDOST,-0.04207881092396837,0.2605461501778474,-0.013464355615659205,0.7580111903457634,-0.028614455308309163
HP1BP3,-0.13167027231093825,2.348285107345607e-24,-0.09368078894557134,2.128268093460816e-10,-0.03798948336536691
EIF4G3,-0.032434182697914815,0.046256595663170134,-0.03141724038049792,0.09075279137855574,-0.0010169423174168982
ECE1,1.0131052379478531,1.570396229839407e-150,0.643391740455294,5.865548270796258e-58,0.3697134974925591
USP48,-0.1395783837324103,5.530593979737116e-12,-0.12091290401461656,3.57529170357877e-07,-0.01866547971779374
CDC42,0.024441614346377535,0.053692565021259665,-0.023798696424991043,0.10767946806098652,0.048240310771368575
ZBTB40,-0.008703134632523053,0.8954354460428201,-0.03544399664633696,0.41549948420363364,0.02674086201381391
KDM1A,-0.09624407394436482,0.001711142497982404,-0.12632701102738386,0.0002819635481075768,0.03008293708301904
RP1-184J9.2,0.08808302813398558,0.0314575248781206,0.028896981171586615,0.5809554515351257,0.059186046962398965
