gene,lfc_urban,padj_urban,lfc_rural,padj_rural,delta_response
RP5-857K21.4,-0.11231402681158362,0.0021302403438351967,-0.10179807621082058,0.041127917039293915,-0.010515950600763033
NOC2L,-0.02401896661344564,0.6648938484251908,-0.0409384952525734,0.5193980911201339,0.016919528639127757
ISG15,1.699213802536147,0.0,1.048116313385076,0.0,0.651097489151071
SDF4,-0.0365054604738582,0.3263642633248611,-0.01251258676567435,0.8287336275706892,-0.02399287370818385
UBE2J2,-0.10900047327547846,0.0051767140686504376,-0.07724797855064715,0.12063104337355211,-0.03175249472483131
AURKAIP1,-0.043796426306730585,0.0829696137506198,1.2704112994290544e-05,0.9764150436274349,-0.043809130419724875
CCNL2,-0.1099548314542343,0.002030396400920999,-0.06427625204903538,0.1625236116011884,-0.04567857940519893
MRPL20,-0.04347618264469616,0.05599861746588296,-0.02838285404020842,0.3381551139870065,-0.01509332860448774
SSU72,-0.12007467166131847,2.0540485047028123e-08,-0.09163277224319823,0.0011277581425188754,-0.02844189941812024
MMP23B,-0.2631234126358739,2.5947380999901717e-08,-0.27049297893197793,4.621237950004831e-06,0.007369566296104024
CDK11B,-0.1339338989998084,3.819163260242843e-05,-0.04301621636663336,0.3383057062457962,-0.09091768263317504
SLC35E2B,-0.24433999819676722,1.171784477627959e-12,-0.19937636379963952,2.46794176279602e-05,-0.044963634397127694
CDK11A,-0.11444169571476738,0.00039347561391666486,-0.026694804514111985,0.5764622797369792,-0.0877468912006554
GNB1,-0.04996850438738048,0.0028198705916125727,-0.041961046064003665,0.05652201084105632,-0.008007458323376813
FAAP20,-0.04636208921589128,0.23656938734620073,-0.13024587146794095,0.00775694453393644,0.08388378225204968
SKI,-0.13886912519168026,4.179858513316395e-05,-0.1728501269428481,0.00028206500879973776,0.03398100175116783
RER1,0.01681135955513314,0.5224247574946116,-0.004875887646904569,0.9237097142931683,0.021687247202037706
TNFRSF14,-0.032521865485929814,0.3293309081174626,-0.07861441122671381,0.028396844513335174,0.046092545740783995
CEP104,-0.10856803226438057,0.006830413292447634,-0.13128666893021773,0.009873786413086102,0.022718636665837164
C1orf174,0.031407581708780996,0.46378181683477443,0.05947452689060959,0.30726456105462774,-0.028066945181828597
KCNAB2,-0.3968277530360754,2.6071154641555477e-39,-0.3550656046810159,4.02541281225436e-18,-0.041762148355059536
RPL22,-0.15315243737347517,2.550082652944774e-133,-0.07743834264024696,8.107668845033408e-25,-0.07571409473322821
TNFRSF25,-0.13982664746022544,5.837631227636076e-07,-0.0641532412918505,0.0671721199191506,-0.07567340616837494
NOL9,-0.19200556576916897,6.841671743083505e-06,-0.05927507868080978,0.28697395754831373,-0.1327304870883592
DNAJC11,-0.0566212636242502,0.23023885865389526,-0.12721472097879438,0.03574807667398119,0.07059345735454418
CAMTA1,-0.100881249634114,2.3258987376603245e-06,-0.07317590918656239,0.0089027099543972,-0.027705340447551616
PARK7,-0.07787266772771813,2.2299626650244493e-05,-0.04895850233902976,0.04271875866078193,-0.028914165388688372
RERE,-0.12757600706355904,5.564028307035399e-12,-0.03794129130400238,0.13089482215627066,-0.08963471575955666
ENO1,0.586088189053105,1.107009051619534e-301,0.26868046343703483,5.0058592482022186e-46,0.31740772561607017
PIK3CD,0.00028830737638616823,0.991794506494095,-0.05908427293980486,0.015377733113304542,0.059372580316191026
PIK3CD-AS2,-0.15124606330803902,0.0013194042865716956,-0.1406910087247346,0.0283735753160014,-0.010555054583304413
CLSTN1,-0.14417934624061685,1.0432216146070444e-07,-0.003326207565858664,0.9288358850757739,-0.14085313867475818
LZIC,-0.06116790063291567,0.06667128360569126,-0.09780156784165749,0.02066523914212406,0.03663366720874182
UBE4B,-0.2024047319615706,1.9459284067208933e-15,-0.1725912198091814,3.5388747431011554e-07,-0.0298135121523892
KIF1B,-0.08547665584947453,0.013539962306939202,-0.09090427640861065,0.0546835194475375,0.00542762055913612
DFFA,-0.0880185827859501,0.050982880043050335,0.03539019304331486,0.5270906406436147,-0.12340877582926496
PEX14,-0.06909640399484036,0.04577696063760631,-0.0658873846694422,0.1610801967455076,-0.0032090193253981603
TARDBP,-0.08677340738378396,0.013338785702127688,-0.19052148176398312,1.519692744709405e-05,0.10374807438019916
SRM,0.11868357350596877,0.00026214882220870257,0.10912733519862303,0.00559021229927911,0.00955623830734574
EXOSC10,-0.15795820501335722,3.291818304478017e-05,-0.11176978455171518,0.028291221205977463,-0.04618842046164204
MTOR,-0.15835896434321214,3.9880323102490305e-06,-0.16586600305184532,0.0002892148158205468,0.007507038708633174
TNFRSF1B,-0.2542070722568692,1.265543000421591e-14,-0.18800682117720058,4.273391270264047e-05,-0.06620025107966865
