gene,lfc_urban,padj_urban,lfc_rural,padj_rural,delta_response
ISG15,1.7968422856978121,1.0986022860609216e-108,0.5445870104750046,1.2785278009583971e-11,1.2522552752228076
AGRN,0.8979919989508449,2.1132644883569027e-13,-0.3851172262964222,0.0006554355505892409,1.2831092252472671
TNFRSF4,1.7884059258354748,1.805728196755642e-17,0.40445937157806855,0.11919999205109683,1.383946554257406
SDF4,0.14853298201086537,0.03299172041519321,-0.1076319212813452,0.22144792318797896,0.2561649032922106
MRPL20,-0.06814129823476137,0.34729031417237527,-0.11662720221059171,0.06286502465874252,0.048485903975830344
SSU72,-0.208389061978652,0.0069109238508574655,-0.19479483611867815,0.004850561848182093,-0.013594225859973857
NADK,0.07610084945416151,0.35026944495873863,-0.4983823550649134,7.648350578815041e-13,0.5744832045190749
GNB1,0.08165828540996574,0.0118552184446151,-0.21702742834815839,6.650494342327006e-11,0.29868571375812414
RER1,0.026434772924566644,0.6161445355171349,-0.2566377221445355,2.348215638062087e-05,0.28307249506910215
TNFRSF14,-0.09592949938983315,0.23291557293476542,-0.257306708671049,4.323876223506757e-05,0.16137720928121585
KCNAB2,-2.0877443950906986,3.641997728670912e-43,-1.7773054946896385,1.9255599396401991e-31,-0.31043890040106015
RPL22,-0.13757018950478755,0.001829100470955356,0.10752698988796378,0.010321081571031588,-0.24509717939275133
CAMTA1,-0.5648580443595103,3.967192671561722e-15,-0.5202263177315741,7.542956294520427e-14,-0.04463172662793613
VAMP3,0.07100072632485352,0.335654955175875,-0.3914564042109091,9.200436759684402e-06,0.46245713053576265
PARK7,-0.1142494157872203,0.07151471692510614,-0.18395285654673726,0.006013052649951654,0.06970344075951697
RERE,-1.2551031982375285,3.858607830892314e-34,-0.7984759173282788,1.4888470667592944e-24,-0.45662728090924964
ENO1,-0.34106451570973473,1.8180300745282606e-13,-0.35457391350389383,1.1909997351432072e-14,0.013509397794159106
GPR157,-0.5850263449306653,0.0022814675280391217,-0.44702725586666286,0.010359090792624486,-0.13799908906400243
SLC25A33,-0.02013139240513543,0.9693956759332901,-0.4705279879634391,0.013031328255941218,0.45039659555830364
PIK3CD,-0.3790959873451976,0.004200775447726071,0.1384747821752943,0.2318431780842861,-0.5175707695204919
UBE4B,-0.5139607951076083,4.505869079670889e-09,-0.28837904486710636,3.871675953718573e-05,-0.22558175024050192
KIF1B,-0.1840802213132151,0.007110536906810943,-0.40672031749136667,1.1292573665430984e-13,0.22264009617815156
PGD,-0.1689730319777414,0.0013750107122164788,-0.47032662985596374,1.4756334592365849e-25,0.30135359787822236
PEX14,-0.09331139773500978,0.5490496394614769,-0.1504011714302481,0.19837198040419377,0.05708977369523831
TARDBP,-0.4011381517569176,0.0015494726578048053,-0.24579459945866014,0.03770151211325585,-0.15534355229825744
MAD2L2,1.1198466263204414,1.3782236224958897e-17,0.3100367062006309,0.012982902035305903,0.8098099201198106
AGTRAP,0.4226749024770454,2.3164716998562904e-08,-0.2064130937865203,0.01199357678922696,0.6290879962635657
TNFRSF1B,1.6215023918347082,0.0,0.8122311124355673,4.219699512535589e-114,0.8092712793991409
VPS13D,0.2591174616207145,0.001425592787080109,-0.05442475502532256,0.6946770751312451,0.31354221664603704
PRDM2,0.21890735074232165,0.0006352959442090031,0.09428708865055925,0.1017885766629601,0.1246202620917624
TMEM51,-1.0443638280758183,1.3990993960580376e-24,-1.2308496302992433,1.2130956068805583e-34,0.18648580222342503
EFHD2,0.24535342889830755,2.249045896763383e-11,-0.12472197837079649,0.0028586165720179144,0.37007540726910404
DDI2,-0.7375207298704332,2.1084827299412301e-07,-0.31227110140285724,0.06689975804811948,-0.4252496284675759
PLEKHM2,-0.17283861041794363,0.006284832639645691,-0.4861510183590981,4.282065508895678e-14,0.31331240794115445
SPEN,-0.23259995860727886,6.498939236273346e-05,-0.22159512925679511,7.101279650651976e-05,-0.011004829350483747
FBXO42,0.0362649411994484,0.5815759359602432,-0.3251642978780719,0.0001241146610190596,0.3614292390775203
SZRD1,0.0019563521742887204,0.8962729545774034,0.01576413015454331,0.8324213598799795,-0.01380777798025459
NECAP2,0.06322373696072017,0.4488894662005401,-0.34519013276430516,1.2559823040820199e-05,0.40841386972502536
SDHB,-0.27862053258547304,0.0010405981750719335,-0.5465055056729107,4.05684345375324e-11,0.26788497308743764
ARHGEF10L,0.736459428662786,4.8368629347456e-35,0.05848569317318921,0.3124758511296858,0.6779737354895968
UBR4,0.3003999000121966,1.1309995304000393e-07,-0.15763306697842788,0.018330822443482338,0.45803296699062446
CAPZB,-0.40081493541754537,5.607570527872433e-18,-0.4019231292705448,6.813665270477426e-21,0.0011081938529994284
MINOS1,-0.09410557105040733,0.25222508997469967,-0.19297642805391876,0.010226222648963073,0.09887085700351143
DDOST,-0.2939845043052814,0.03780784313473117,-0.10628530558061224,0.5073251134623672,-0.18769919872466917
HP1BP3,-0.3228176968650048,1.2420224022981813e-06,-0.29252514947742625,1.4260484631404733e-06,-0.030292547387578528
EIF4G3,-0.7743310948802578,5.612814634615525e-34,-0.5268147506452565,1.9914107204887273e-13,-0.24751634423500124
USP48,-0.429370717243257,1.374741748683443e-05,-0.27328025973243175,0.005002299742747629,-0.15609045751082523
CDC42,-0.03213947441531527,0.38763355771459,-0.2232422997951595,1.6625770196098542e-14,0.19110282537984424
ZBTB40,-0.17417800630764285,0.20639693212544527,-0.2984838070102737,0.07521067778178274,0.12430580070263086
C1QA,-0.1884186448689458,0.32784799039030504,-0.618640065971027,0.06070094617404231,0.4302214211020813
C1QB,0.6505545163193144,0.002840390928723568,0.09001446220605126,0.7458262706482744,0.5605400541132631
LUZP1,-0.04917771442981609,0.8847142626016041,-0.1638132464920059,0.25308391631355137,0.11463553206218982
HNRNPR,-0.1527299017651467,0.04826166185821611,-0.09728680976202377,0.14388949594069828,-0.05544309200312293
RPL11,-0.13428415371656086,4.291698198855879e-05,0.063438447411347,0.032590321243377345,-0.19772260112790785
TCEB3,0.24908610035426965,0.01891015496542072,0.11639844203803912,0.29818418007935454,0.13268765831623053
PNRC2,0.30238693545473805,3.9621083081436137e-07,-0.02079231881351263,0.8679559291755957,0.32317925426825067
RCAN3,-0.520038233195162,0.000450609302752646,-0.5732515437132434,0.0003958697955128254,0.053213310518081425
SRRM1,-0.40161291089853357,2.2457992567426436e-12,-0.39438060055510177,8.259070031893263e-13,-0.007232310343431803
CLIC4,1.0959868174336764,2.6574171876217443e-100,0.3493628454794906,1.8921966952625207e-14,0.7466239719541858
RUNX3,-0.06303515160338574,0.7413901886315469,-0.1933949637238807,0.09332405908474604,0.13035981212049497
SYF2,-0.013361445233733506,0.9483252938525001,-0.1507798969984821,0.007505323143068181,0.1374184517647486
RSRP1,-0.10651095040141288,0.08942434094120749,-0.1757385201815107,0.0006858161212654586,0.06922756978009782
TMEM50A,0.3703824494489294,4.346995508191411e-21,-0.08299468445537914,0.030313852409865404,0.45337713390430856
TMEM57,0.2282612611925726,0.042938069924549065,-0.1096092022193023,0.38043256326795,0.3378704634118749
SH3BGRL3,-1.1870053146850765,0.0,-1.0428564160888296,9.752897748503168e-247,-0.1441488985962469
CD52,-1.5565597228855974,3.172065359848401e-25,-0.15606928095425868,0.3644403215235373,-1.4004904419313386
HMGN2,-0.8934001309569244,3.428386940555414e-55,-0.8021841088751883,2.2661343504400665e-54,-0.09121602208173607
RPS6KA1,-0.29017121828888254,0.003154721628724855,-0.3701613941800324,0.0008917788983916123,0.07999017589114987
ARID1A,-0.6012542362496082,9.949255644708116e-19,-0.5668150374415066,3.802031941357436e-18,-0.034439198808101534
NUDC,-0.1369743532313496,0.1263268808793125,-0.35971152320481337,1.769295870559761e-05,0.22273716997346377
WDTC1,-0.7871282592898252,6.455387056390782e-09,-0.7272022222550477,7.200288810985543e-07,-0.0599260370347775
WASF2,-0.2785374252737266,4.036598699216097e-09,-0.29504902214410494,2.9178998288636444e-10,0.016511596870378342
FGR,0.8004465118801467,1.5764964253542067e-26,0.12018260587386456,0.10780787233271959,0.6802639060062822
IFI6,0.43881317215868754,1.7737365680362096e-13,-0.23786153741124105,4.130311579984618e-06,0.6766747095699286
STX12,0.5504119714873317,1.0231268880479651e-27,0.15130616604824523,0.0019786677776188846,0.39910580543908647
THEMIS2,-0.2873181350638468,0.00037003306968146164,-0.4202555231506906,1.0586952383842849e-10,0.1329373880868438
RPA2,-0.19468807874766295,0.1253547728414702,-0.14178409953208182,0.15290081272241346,-0.052903979215581126
EYA3,0.1673654107036456,0.006289684090325942,-0.2601419617117493,4.058858714214801e-05,0.42750737241539494
PTAFR,0.17146045189560746,0.004434912798898998,-0.418304048334332,1.8908628094282283e-16,0.5897645002299394
DNAJC8,-0.10068721866208082,0.06463356227352247,-0.20628594679857126,4.193155686699835e-05,0.10559872813649045
