"peak_id","best_gene","logFC","logCPM","F","PValue","FDR","direction","modality","n_cells_by_counts","mean_counts","log1p_mean_counts","pct_dropout_by_counts","total_counts","log1p_total_counts","nearest_gene","strongest_linked_gene","strongest_link_major_label","strongest_link_r","strongest_link_fdr","strongest_link_distance_to_tss","strongest_link_direction"
"chr12-24719117-24720055","LOC105369698",2.41323272164145,6.99954443680339,126.347499860828,2.63200770146307e-29,2.01743390317145e-25,"LPS_higher","Peaks",6391,0.0132188065099458,0.0131322004712905,98.8443037974684,7310,8.89713534229332,"LOC105369698","","",NA,NA,NA,""
"chr8-39951323-39952527","IDO2",1.74930391321065,7.27144691069952,95.8933977006764,1.22571503985576e-22,4.69755289024722e-19,"LPS_higher","Peaks",3975,0.00864014466546112,0.00860303223351584,99.2811934900542,4778,8.47198659857816,"IDO2","","",NA,NA,NA,""
"chr17-79038339-79039434","C1QTNF1-AS1",2.39578016596183,6.76730187041518,92.8547343015812,5.88497544196637e-22,1.50361122542241e-18,"LPS_higher","Peaks",1684,0.003750452079566,0.0037434366693342,99.69547920434,2074,7.6377164326648,"C1QTNF1-AS1","","",NA,NA,NA,""
"chr14-105069581-105071435","GPR132",1.52873891496435,7.47023988955416,87.6803434940055,7.76699895558816e-21,1.48835117486458e-17,"LPS_higher","Peaks",8789,0.0198896925858951,0.0196944769245069,98.4106690777577,10999,9.30565055178051,"GPR132","","",NA,NA,NA,""
"chr3-127750089-127751697","LOC107986127",1.77644790813212,6.9600668514661,74.0253070504528,7.76289878908743e-18,1.1900523843671e-14,"LPS_higher","Peaks",3010,0.00631464737793852,0.00629479352838997,99.4556962025316,3492,8.15851624480683,"LOC107986127","","",NA,NA,NA,""
"chr1-15964881-15966895","ZBTB17",1.46707813718282,7.2199637244553,67.0455763049187,2.66736126496421e-16,3.40755401599178e-13,"LPS_higher","Peaks",11784,0.0246817359855335,0.0243820628972785,97.8690777576853,13649,9.52149480061311,"ZBTB17","","",NA,NA,NA,""
"chr18-12879753-12880959","PTPN2",1.60903232483565,7.03538398428562,65.8404870526385,4.91484105829199e-16,5.38175095882973e-13,"LPS_higher","Peaks",4890,0.00995117540687161,0.00990198850338028,99.1157323688969,5503,8.61323037961318,"PTPN2","PTPN2","Cytotoxic T/NK cells",0.482061213842942,9.55470016363938e-05,49286,"positive"
"chr6-159676305-159678722","WTAP",1.99749024852079,6.72019445657175,63.7770368151921,1.40010437970659e-15,1.34147500880637e-12,"LPS_higher","Peaks",2753,0.00649728752260398,0.0064762711339227,99.5021699819168,3593,8.1870210673435,"WTAP","","",NA,NA,NA,""
"chr20-32034201-32035400","HCK",1.37510415480183,7.27291042465363,62.042242777548,3.37726869521089e-15,2.87630717208794e-12,"LPS_higher","Peaks",4080,0.00977576853526221,0.00972829485377433,99.2622061482821,5406,8.595449689382,"HCK","","",NA,NA,NA,""
"chr8-29655286-29657112","LOC105379352",1.48467885393934,7.1179258578984,61.6010971611619,4.22507245043343e-15,3.23851803325722e-12,"LPS_higher","Peaks",5776,0.0118028933092224,0.0117337824379497,98.9555153707052,6527,8.78385589664394,"LOC105379352","","",NA,NA,NA,""
