"peak_id","best_gene","logFC","logCPM","F","PValue","FDR","direction","modality","n_cells_by_counts","mean_counts","log1p_mean_counts","pct_dropout_by_counts","total_counts","log1p_total_counts","nearest_gene","strongest_linked_gene","strongest_link_major_label","strongest_link_r","strongest_link_fdr","strongest_link_distance_to_tss","strongest_link_direction"
"chr8-39951323-39952527","IDO2",1.61604655236112,6.63605026064783,97.1374971622653,6.32942953644592e-21,9.31059084811195e-17,"LPS_higher","Peaks",3975,0.00864014466546112,0.00860303223351584,99.2811934900542,4778,8.47198659857816,"IDO2","","",NA,NA,NA,""
"chr9-110258422-110259457","LOC124902246",2.07276959646776,5.89263236343298,72.7993226198497,2.29546875434688e-16,1.68831726882213e-12,"LPS_higher","Peaks",1891,0.00380289330922242,0.00379568059081086,99.6580470162749,2103,7.6515955738576,"LOC124902246","","",NA,NA,NA,""
"chr10-6050449-6051683","IL2RA",1.75418244450342,6.08107738181765,66.7016194263662,3.04573931335274e-15,1.49342750998063e-11,"LPS_higher","Peaks",34391,0.0769276672694394,0.0741122346091171,93.7810126582279,42541,10.6582471022236,"IL2RA","IL2RA","Monocytes",0.472581012986726,0.0037137848701418,11300,"positive"
"chr1-12157123-12159086","MIR7846",1.77415431023475,6.00553595141045,63.333612916943,1.36247729434732e-14,4.38001331420116e-11,"LPS_higher","Peaks",10065,0.0204538878842676,0.020247516440158,98.1799276672694,11311,9.33361938813635,"MIR7846","","",NA,NA,NA,""
"chr9-87463549-87464964","DAPK1",2.6492648955235,5.53837258476614,64.7513647265163,1.48878766628184e-14,4.38001331420116e-11,"LPS_higher","Peaks",914,0.00185533453887884,0.00185361553164718,99.8347197106691,1026,6.93439720992856,"DAPK1","DAPK1","Cytotoxic T/NK cells",0.340585503237172,0.0247734907191307,32971,"positive"
"chr1-113132732-113133738","LRIG2",2.31706758538773,5.6120803623205,61.9070513874248,2.57824278786931e-14,6.32099190159291e-11,"LPS_higher","Peaks",1730,0.00354611211573237,0.00353983948475833,99.6871609403255,1961,7.58171964012531,"LRIG2","","",NA,NA,NA,""
"chr14-35398885-35400753","LOC107984681",1.22481470420021,6.78131714874564,61.5533617814398,4.07163156439296e-14,8.55624290174578e-11,"LPS_higher","Peaks",7046,0.015871609403255,0.0157469724735099,98.7258589511754,8777,9.08000387024818,"LOC107984681","","",NA,NA,NA,""
"chr2-112835782-112837483","IL1B",1.34395714275699,6.48904998743828,60.3273371374935,5.23660012086077e-14,9.62879847223274e-11,"LPS_higher","Peaks",3813,0.00867631103074141,0.00863888815010447,99.3104882459313,4798,8.47616284185825,"IL1B","","",NA,NA,NA,""
"chr5-151093390-151094847","TNIP1",1.38453670853256,6.3952269680847,59.5500261363492,7.4277134877935e-14,1.21401850450492e-10,"LPS_higher","Peaks",10209,0.0211971066907776,0.0209755731367378,98.1538878842676,11722,9.36930800307183,"TNIP1","","",NA,NA,NA,""
"chr6-30527543-30528581","LINC02569",1.74157473570427,5.90132236551106,55.4471040013788,4.74721949874974e-13,6.98315988266087e-10,"LPS_higher","Peaks",6905,0.0137884267631103,0.0136942312907258,98.751356238698,7625,8.93931874041751,"LINC02569","","",NA,NA,NA,""
"chr11-44572879-44575627","CD82",1.71979926685916,5.89767025625339,55.047907634613,5.69128864433785e-13,7.31546868623195e-10,"LPS_higher","Peaks",10228,0.0202133815551537,0.0200118030205043,98.150452079566,11178,9.32179229727033,"CD82","","",NA,NA,NA,""
"chr1-209672927-209673901","G0S2",1.94393408032819,5.75380038045301,55.0768900636759,5.96775147755156e-13,7.31546868623195e-10,"LPS_higher","Peaks",5748,0.0122839059674503,0.0122090710149562,98.9605786618445,6793,8.82379514872053,"G0S2","","",NA,NA,NA,""
"chr8-130061934-130062910","ASAP1-IT2",1.63402631405275,5.97981625027578,54.3688769150276,7.7510751394023e-13,8.77063963850829e-10,"LPS_higher","Peaks",1836,0.00366726943942134,0.00366056140196899,99.6679927667269,2028,7.61529833982581,"ASAP1-IT2","","",NA,NA,NA,""
"chr11-78427376-78428420","LINC02728",1.80840575074208,5.78150155227568,52.5417063852654,1.78387291615679e-12,1.87393258651933e-09,"LPS_higher","Peaks",2623,0.00533092224231465,0.00531676317463912,99.525678119349,2948,7.98922140881528,"LINC02728","","",NA,NA,NA,""
"chr7-22600808-22601958","STEAP1B",2.24027347155871,5.62513737103269,53.9873232265649,1.9108761929157e-12,1.87393258651933e-09,"LPS_higher","Peaks",1246,0.00255334538878843,0.0025500911407536,99.7746835443038,1412,7.25347038268453,"STEAP1B","","",NA,NA,NA,""
"chr17-36104295-36107029","CCL4",1.51480878543609,6.12923616336697,52.0843390397096,2.85817107172805e-12,2.62773102906998e-09,"LPS_higher","Peaks",5971,0.0123327305605787,0.012257301966196,98.920253164557,6820,8.82776136765472,"CCL4","","",NA,NA,NA,""
