"peak_id","best_gene","logFC","logCPM","F","PValue","FDR","direction","modality","n_cells_by_counts","mean_counts","log1p_mean_counts","pct_dropout_by_counts","total_counts","log1p_total_counts","nearest_gene","strongest_linked_gene","strongest_link_major_label","strongest_link_r","strongest_link_fdr","strongest_link_distance_to_tss","strongest_link_direction"
"chr5-43039900-43043669","ANXA2R-AS1",0.914083755686434,7.16876602337993,41.4561466384482,7.51634522807744e-10,1.04048766992276e-05,"Urban_higher","Peaks",70078,0.193594936708861,0.176969708424901,87.3276672694394,107058,11.5811353633471,"ANXA2R-AS1","","",NA,NA,NA,""
"chr3-10191748-10193727","IRAK2",-1.02037783339597,6.75039716108432,34.856101049765,1.2557859404668e-08,8.69192238694096e-05,"Rural_higher","Peaks",14407,0.0297811934900542,0.0293463461695496,97.3947558770344,16469,9.70929582317169,"IRAK2","IRAK2","B cells",0.466885277038971,0.0004965412190176,27819,"positive"
"chr3-127750089-127751697","LOC107986127",-1.24470759343606,6.22031025513028,32.9585750781068,2.93950122534896e-08,0.000135638384875019,"Rural_higher","Peaks",3010,0.00631464737793852,0.00629479352838997,99.4556962025316,3492,8.15851624480683,"LOC107986127","","",NA,NA,NA,""
"chr20-32034201-32035400","HCK",-1.0192822905562,6.70469314892716,32.2666965020598,4.29220360738939e-08,0.000148542436342728,"Rural_higher","Peaks",4080,0.00977576853526221,0.00972829485377433,99.2622061482821,5406,8.595449689382,"HCK","","",NA,NA,NA,""
"chr14-105069581-105071435","GPR132",-0.982250676685533,6.77619384727141,30.1083747721923,1.44969435382508e-07,0.000401362378800012,"Rural_higher","Peaks",8789,0.0198896925858951,0.0196944769245069,98.4106690777577,10999,9.30565055178051,"GPR132","","",NA,NA,NA,""
"chr12-76588555-76589516","LOC105369850",-1.25205338611558,6.09670565103966,28.65223302658,2.08772908856029e-07,0.000463404717635265,"Rural_higher","Peaks",2942,0.00610669077757685,0.0060881205050434,99.4679927667269,3377,8.12503909736775,"LOC105369850","","",NA,NA,NA,""
"chr15-39579861-39581518","THBS1",1.13677975602239,6.04939655621766,28.3959695406223,2.34330204684451e-07,0.000463404717635265,"Urban_higher","Peaks",12396,0.0258589511754069,0.0255302628101867,97.7584086799277,14300,9.56808474387294,"THBS1","THBS1","Monocytes",0.638250540045155,5.55666666876778e-07,389,"positive"
"chr2-223888910-223889911","LOC124907989",-2.06429440548697,5.45373891049142,28.301389225264,2.84967191403179e-07,0.000493100103824275,"Rural_higher","Peaks",1140,0.00233092224231465,0.00232820985715302,99.7938517179023,1289,7.16239749735572,"LOC124907989","","",NA,NA,NA,""
"chr3-4976825-4980926","BHLHE40",-0.630823365032664,8.2364328738803,27.3108701777851,5.53955344528303e-07,0.000852044870478366,"Rural_higher","Peaks",65075,0.194792043399638,0.177972147980127,88.2323688969259,107720,11.5872998302096,"BHLHE40","BHLHE40","B cells",0.580636581035197,7.35325912839929e-07,561,"positive"
"chr6-108597999-108599038","FOXO3",-1.35552127759588,5.88831362753392,25.2518527164858,1.15066427551899e-06,0.00150769234227776,"Rural_higher","Peaks",2126,0.00439240506329114,0.00438278660732217,99.6155515370705,2429,7.79564653633459,"FOXO3","FOXO3","Monocytes",0.432199824522982,0.0152170048145136,38684,"positive"
"chr16-11212454-11213739","LOC107984859",-2.04682649609529,5.45426004294036,25.9142615531488,1.21445155187181e-06,0.00150769234227776,"Rural_higher","Peaks",2230,0.00441410488245931,0.00440439129554036,99.5967450271248,2441,7.80057265467065,"LOC107984859","","",NA,NA,NA,""
