"peak_id","best_gene","logFC","logCPM","F","PValue","FDR","direction","modality","n_cells_by_counts","mean_counts","log1p_mean_counts","pct_dropout_by_counts","total_counts","log1p_total_counts","nearest_gene","strongest_linked_gene","strongest_link_major_label","strongest_link_r","strongest_link_fdr","strongest_link_distance_to_tss","strongest_link_direction"
"chr14-35398885-35400753","LOC107984681",1.02288313984761,6.73933930492603,43.0359331489211,2.78584521313422e-10,4.12527959160915e-06,"LPS_higher","Peaks",7046,0.015871609403255,0.0157469724735099,98.7258589511754,8777,9.08000387024818,"LOC107984681","","",NA,NA,NA,""
"chr12-92538512-92540864","LOC105369905",1.17383407113425,6.13493417658703,35.9943060035484,5.66882251517447e-09,4.19719619023518e-05,"LPS_higher","Peaks",9929,0.019996383363472,0.0197990815678073,98.20452079566,11058,9.31099985507536,"LOC105369905","","",NA,NA,NA,""
"chr5-151059552-151060891","TNIP1",1.01616876902889,6.46729633592695,34.6010233530242,1.26887335661686e-08,4.64516217885388e-05,"LPS_higher","Peaks",11029,0.0236636528028933,0.0233880086015069,98.0056057866184,13086,9.47937465005548,"TNIP1","","",NA,NA,NA,""
"chr7-22600808-22601958","STEAP1B",1.29331302478751,5.92233227916181,33.845995792012,1.52347262292124e-08,4.64516217885388e-05,"LPS_higher","Peaks",1246,0.00255334538878843,0.0025500911407536,99.7746835443038,1412,7.25347038268453,"STEAP1B","","",NA,NA,NA,""
"chr7-20458167-20459225","LOC124900239",1.5650955218277,5.59370345584935,33.7830084312659,1.56846372867838e-08,4.64516217885388e-05,"LPS_higher","Peaks",821,0.00163291139240506,0.00163157964215367,99.8515370705244,903,6.80682936039218,"LOC124900239","","",NA,NA,NA,""
"chr9-137149916-137151773","GRIN1",1.18501269760073,6.01098901768629,31.8135938476354,3.9102563914925e-08,9.65051277420348e-05,"LPS_higher","Peaks",5274,0.0120687160940325,0.0119964698387746,99.0462929475588,6674,8.80612448326845,"GRIN1","","",NA,NA,NA,""
"chr4-159206120-159207084","MIR3688-1",2.06566822629962,5.12237609281086,29.7948521263323,1.00465417126932e-07,0.000180157967320854,"LPS_higher","Peaks",2364,0.00456419529837251,0.00455381094450216,99.572513562387,2524,7.83399634170946,"MIR3688-1","","",NA,NA,NA,""
"chr4-102521672-102522584","NFKB1-AS1",1.54794007238477,5.4733650162684,29.6569786319529,1.07182700658717e-07,0.000180157967320854,"LPS_higher","Peaks",2288,0.00443218806509946,0.00442239484584096,99.5862567811935,2451,7.8046592970561,"NFKB1-AS1","","",NA,NA,NA,""
"chr6-154138455-154139333","OPRM1",1.53324622394162,5.54266265890492,29.6393278764725,1.09496333460811e-07,0.000180157967320854,"LPS_higher","Peaks",1035,0.00205786618444846,0.00205575167824886,99.8128390596745,1138,7.03790596344718,"OPRM1","","",NA,NA,NA,""
"chr2-39141017-39142694","SOS1",1.14928886038258,5.93934246191586,28.1567431549632,2.17264241489908e-07,0.000321724888798256,"LPS_higher","Peaks",3277,0.00641952983725136,0.00639901241690002,99.4074141048825,3550,8.17498453294309,"SOS1","","",NA,NA,NA,""
