"peak_id","best_gene","logFC","logCPM","F","PValue","FDR","direction","modality","n_cells_by_counts","mean_counts","log1p_mean_counts","pct_dropout_by_counts","total_counts","log1p_total_counts","nearest_gene","strongest_linked_gene","strongest_link_major_label","strongest_link_r","strongest_link_fdr","strongest_link_distance_to_tss","strongest_link_direction"
"chr12-31748673-31749902","AMN1",1.1618835498023,4.70712148206975,16.1011002020203,9.57251647781901e-05,0.378202758222494,"Not_significant","Peaks",16972,0.0348933092224231,0.0342983385270416,96.9309222423146,19296,9.86770492239636,"AMN1","AMN1","Naive CD8 T cells",0.447756898721923,0.003276802688625,20167,"positive"
"chr21-43921475-43922601","LOC124905034",0.500221785838252,6.51263449649792,16.0015392583455,0.000100364709973101,0.378202758222494,"Not_significant","Peaks",9865,0.0206745027124774,0.0204636859178697,98.2160940325497,11433,9.34434665182392,"LOC124905034","","",NA,NA,NA,""
"chr2-37156371-37157567","EIF2AK2",-0.646930232736637,5.71533303262347,15.6775134862022,0.000117114066285576,0.378202758222494,"Not_significant","Peaks",24582,0.0520831826401447,0.0507721821402831,95.5547920433996,28802,10.2682348273657,"EIF2AK2","EIF2AK2","Cytotoxic T/NK cells",0.590090550265793,1.07764025154913e-07,552,"positive"
"chr10-131972354-131973417","BNIP3",-0.759963742255425,5.273004797095,15.2231655676973,0.000145525297747344,0.378202758222494,"Not_significant","Peaks",8231,0.0162314647377939,0.0161011428331532,98.5115732368897,8976,9.10242102975669,"BNIP3","","",NA,NA,NA,""
"chr9-94870876-94871974","MIR2278",0.727812610159427,5.45971749539107,14.5184672129527,0.000204201002526029,0.378202758222494,"Not_significant","Peaks",12513,0.0261971066907776,0.0258598400818556,97.7372513562387,14487,9.58107599956325,"MIR2278","","",NA,NA,NA,""
"chr1-44806998-44808932","BTBD19",0.504034014241778,6.30391350774675,14.4373630786,0.000212351277755529,0.378202758222494,"Not_significant","Peaks",34643,0.0864303797468354,0.0828974411158132,93.7354430379747,47796,10.7747181550037,"BTBD19","BTBD19","Cytotoxic T/NK cells",0.399443550736465,0.0036960497887577,557,"positive"
"chr12-10982023-10983252","TAS2R50",-0.828638726748879,5.09582523292078,14.3402573760611,0.00022254778689996,0.378202758222494,"Not_significant","Peaks",10854,0.0215985533453888,0.0213686096676378,98.0372513562387,11944,9.38806805975991,"TAS2R50","","",NA,NA,NA,""
"chr2-6864750-6866755","RSAD2",-0.467447285086597,6.47106896516303,14.3244008961966,0.000224259639183389,0.378202758222494,"Not_significant","Peaks",41211,0.0967052441229656,0.092310452502297,92.54773960217,53478,10.8870443324622,"RSAD2","RSAD2","Memory T cells",0.887989310590689,9.20180519450467e-29,196,"positive"
"chr21-41425646-41427008","MX1",-0.521735156308771,6.2409459419838,14.1429122175731,0.000244837592037361,0.378202758222494,"Not_significant","Peaks",32996,0.0729620253164557,0.070423071891298,94.0332730560579,40348,10.6053218902435,"MX1","MX1","Cytotoxic T/NK cells",0.768622995626527,2.66693799670735e-16,6308,"positive"
"chr2-218395486-218396741","CTDSP1",0.425154436882257,6.91343367771092,14.0570533559148,0.000255234526425136,0.378202758222494,"Not_significant","Peaks",50365,0.123088607594937,0.116082575221521,90.8924050632911,68068,11.1282771755746,"CTDSP1","","",NA,NA,NA,""
"chr18-62869314-62870297","LOC105372161",-1.12342865697601,4.62679620379666,13.9333905621038,0.000271007122692165,0.378202758222494,"Not_significant","Peaks",4595,0.00888065099457505,0.00884144992989899,99.1690777576854,4911,8.49943646982698,"LOC105372161","","",NA,NA,NA,""
"chr15-84734617-84737138","ZNF592",-0.469225360025519,6.35680573558546,13.6025722355319,0.000318278151819795,0.407157325715473,"Not_significant","Peaks",33710,0.0739909584086799,0.0713815774373442,93.9041591320072,40917,10.6193253430158,"ZNF592","","",NA,NA,NA,""
"chr3-128051740-128052911","MGLL",0.403554373248789,6.84010748579174,13.2330660986108,0.000381137425634517,0.422328037785347,"Not_significant","Peaks",50670,0.124464737793852,0.117307133805372,90.8372513562387,68829,11.1393949753924,"MGLL","","",NA,NA,NA,""
"chr9-33415148-33416149","AQP7",0.544029494103321,6.0502017915124,13.1229556374885,0.000402221913134721,0.422328037785347,"Not_significant","Peaks",17560,0.0391934900542495,0.0384449219726544,96.8245931283906,21674,9.98391480164874,"AQP7","AQP7","B cells",0.502653257280161,8.43823030355701e-05,12967,"positive"
"chr2-6877217-6878525","CMPK2",-0.767349417570164,5.38778054567141,13.1903348753261,0.000412671524120917,0.422328037785347,"Not_significant","Peaks",18533,0.0378137432188065,0.0371163305105782,96.648643761302,20911,9.948078435864,"CMPK2","CMPK2","Memory T cells",0.801823340819827,9.55766986011416e-19,11237,"positive"
"chr1-65068533-65069892","JAK1",-0.847258736113146,5.01253713036977,12.6340147234165,0.00051125219448968,0.430343534582637,"Not_significant","Peaks",10842,0.0210976491862568,0.0208781753401531,98.0394213381555,11667,9.36460533098761,"JAK1","JAK1","Cytotoxic T/NK cells",0.484701172697744,8.35115326981087e-05,1459,"positive"
"chr14-61502429-61504143","PRKCH-AS2",-0.578422613111046,5.7440429049952,12.5892463498724,0.000522637708073104,0.430343534582637,"Not_significant","Peaks",27821,0.0588318264014467,0.0571662498550577,94.9690777576854,32534,10.3900717119291,"PRKCH-AS2","","",NA,NA,NA,""
"chr15-101126451-101128135","LOC124903564",-0.82415357138863,4.98276691616976,12.4761611551449,0.000552566230208767,0.430343534582637,"Not_significant","Peaks",15204,0.0311121157323689,0.0306379437708247,97.2506329113924,17205,9.75301343918129,"LOC124903564","","",NA,NA,NA,""
"chr2-46616442-46617594","PIGF",0.389025957059969,6.86300401222314,12.3896724805749,0.000576634432542343,0.430343534582637,"Not_significant","Peaks",51031,0.121090415913201,0.11430179731668,90.7719710669078,66963,11.1119104405357,"PIGF","PIGF","Cytotoxic T/NK cells",0.405214853247625,0.0029734065994697,36,"positive"
"chr2-200373812-200374733","SPATS2L",-0.711843766400643,5.24246416423192,12.2205694141435,0.00062683768230072,0.430343534582637,"Not_significant","Peaks",14035,0.0274412296564195,0.0270714683377413,97.4620253164557,15175,9.62747051161485,"SPATS2L","SPATS2L","Memory T cells",0.541085029293922,6.98708292835095e-06,68392,"positive"
"chr8-102528302-102529414","LINC03047",0.594459748581059,5.75164344873812,12.097477870507,0.000666175017999296,0.430343534582637,"Not_significant","Peaks",17087,0.0355153707052441,0.0348992454953809,96.9101265822785,19640,9.8853744971092,"LINC03047","","",NA,NA,NA,""
"chr10-27242741-27243684","ACBD5",-0.679732665045567,5.43733021920509,11.9556240582117,0.000718777044532897,0.430343534582637,"Not_significant","Peaks",20000,0.0417667269439421,0.0409180477731782,96.3833634719711,23097,10.047501312675,"ACBD5","","",NA,NA,NA,""
"chr7-135147656-135149137","TMEM140",-0.55790965544742,5.88929533313486,11.9278994331576,0.000725207720788813,0.430343534582637,"Not_significant","Peaks",27417,0.0580108499095841,0.0563905884965528,95.0421338155515,32080,10.3760192335644,"TMEM140","TMEM140","Naive CD4 T cells",0.632334894090026,1.53151093882064e-08,325,"positive"
"chr1-89271544-89273679","GBP5",-0.694926389014396,5.40846524606435,11.921684956473,0.00073092746935457,0.430343534582637,"Not_significant","Peaks",24819,0.0523869801084991,0.0510608984887895,95.5119349005425,28970,10.274050608635,"GBP5","GBP5","Cytotoxic T/NK cells",0.697479487458493,4.84650762213369e-12,248,"positive"
"chr1-116753857-116754820","CD2",0.729830233721384,5.22719525730444,11.8553212999189,0.000751100539797085,0.430343534582637,"Not_significant","Peaks",12542,0.024750452079566,0.0244491215630479,97.7320072332731,13687,9.52427481557203,"CD2","CD2","Cytotoxic T/NK cells",0.392301416442891,0.0047615347330313,91,"positive"
"chr9-20242449-20243474","SLC24A2",-0.790611828481367,4.97651278301809,11.8448579543067,0.00075501041290146,0.430343534582637,"Not_significant","Peaks",9001,0.0180994575045208,0.0179376122799927,98.3723327305606,10009,9.21133987230927,"SLC24A2","","",NA,NA,NA,""
"chr16-69131281-69133114","DERPC",-0.499260761536032,5.82283974251804,11.7194061341938,0.000803543202593345,0.430343534582637,"Not_significant","Peaks",27705,0.0612965641952984,0.0594913344255502,94.9900542495479,33897,10.431111294578,"DERPC","","",NA,NA,NA,""
"chr15-58484322-58485795","ALDH1A2",-0.753713618859604,5.00481119688256,11.671979229783,0.000822712484606648,0.430343534582637,"Not_significant","Peaks",8576,0.0169873417721519,0.0168446703539107,98.4491862567812,9394,9.14793291184757,"ALDH1A2","ALDH1A2","Naive CD4 T cells",0.535969542664788,1.91494439274225e-05,11146,"positive"
"chr16-30609550-30610866","ZNF689",-0.441485154838835,6.355606240731,11.6462815521525,0.00083329398831628,0.430343534582637,"Not_significant","Peaks",38101,0.0846039783001808,0.0812149234064613,93.1101265822785,46786,10.7533606655406,"ZNF689","","",NA,NA,NA,""
"chr20-5077854-5079101","TMEM230",-0.521950780112552,6.01081352039413,11.6299099603606,0.000841007493810117,0.430343534582637,"Not_significant","Peaks",28544,0.0599041591320072,0.05817848812301,94.8383363471971,33127,10.4081341252254,"TMEM230","","",NA,NA,NA,""
"chr19-48953879-48955425","BAX",-0.562301649070211,5.76300149571279,11.5014054945224,0.000895611639173611,0.437417539567706,"Not_significant","Peaks",28757,0.0612622061482821,0.0594589602482135,94.7998191681736,33878,10.4305506323918,"BAX","","",NA,NA,NA,""
"chr21-38766767-38768067","LINC00114",-0.526837625130496,5.98337052447772,11.4654126084493,0.000911820810772366,0.437417539567706,"Not_significant","Peaks",26291,0.0550867992766727,0.0536230377395921,95.2457504520796,30463,10.3243009375911,"LINC00114","","",NA,NA,NA,""
"chr8-58658932-58660498","NSMAF",-0.533726875813052,5.85424752093783,11.3174266263453,0.000981685560582188,0.448166047530751,"Not_significant","Peaks",27857,0.0614358047016275,0.0596225243094649,94.9625678119349,33974,10.4333802390193,"NSMAF","NSMAF","B cells",0.406049579865487,0.0061790950556395,137,"positive"
"chr20-62953771-62955301","SLC17A9",0.465470242727107,6.33629179870542,11.3030934977166,0.000992615830632893,0.448166047530751,"Not_significant","Peaks",25739,0.0560162748643761,0.0545035969686956,95.3455696202532,30977,10.3410325541077,"SLC17A9","","",NA,NA,NA,""
"chr22-37149462-37150593","IL2RB",0.463906459533463,6.32374728127276,11.1960634156493,0.00104340131388414,0.453507728572144,"Not_significant","Peaks",31946,0.0742694394213382,0.0716408393168625,94.2231464737794,41071,10.6230819031109,"IL2RB","IL2RB","Naive CD4 T cells",0.383530600202981,0.0193599760399712,25090,"positive"
"chr5-1103271-1105284","SLC12A7",0.70117240361088,5.40345003880688,11.1572044799554,0.00106353190206483,0.453507728572144,"Not_significant","Peaks",12987,0.0267377938517179,0.0263865856433433,97.6515370705244,14786,9.60150369537349,"SLC12A7","SLC12A7","Memory T cells",0.770919614337214,2.7182672641194e-16,7785,"positive"
"chr3-187367892-187368837","RTP4",-0.85922405592808,4.95270246696095,11.1351023239677,0.00110617299299125,0.458942205821856,"Not_significant","Peaks",13890,0.0273905967450271,0.0270221865320459,97.4882459312839,15147,9.62562378902169,"RTP4","RTP4","Memory T cells",0.590672908766521,2.08686045898288e-07,20,"positive"
