"peak_id","best_gene","logFC","logCPM","F","PValue","FDR","direction","modality","n_cells_by_counts","mean_counts","log1p_mean_counts","pct_dropout_by_counts","total_counts","log1p_total_counts","nearest_gene","strongest_linked_gene","strongest_link_major_label","strongest_link_r","strongest_link_fdr","strongest_link_distance_to_tss","strongest_link_direction"
"chr17-14300291-14301525","HS3ST3B1",-0.83888105286096,7.69142010979649,30.9814067867421,2.83863858890842e-08,0.000227914292303457,"Rural_higher","Peaks",56132,0.141075949367089,0.131971632527142,89.849547920434,78015,11.2646692128409,"HS3ST3B1","HS3ST3B1","B cells",0.388049678646801,0.0115245422485472,172,"positive"
"chr17-78541472-78542464","DNAH17",0.919256148353219,6.67381328154068,14.1697411136047,0.000170236422513744,0.478591289448742,"Not_significant","Peaks",2398,0.00517902350813743,0.00516565849118575,99.5663652802893,2864,7.96032362914884,"DNAH17","","",NA,NA,NA,""
"chr2-97663343-97664893","ACTR1B",-0.700593337880833,7.15483216417499,14.076729217019,0.000178823498361717,0.478591289448742,"Not_significant","Peaks",60535,0.154475587703436,0.143646204247518,89.0533453887884,85425,11.35540578309,"ACTR1B","","",NA,NA,NA,""
"chr2-206158711-206160094","NDUFS1",-0.543017178589399,7.65584191775483,13.1687739542225,0.000289402787497097,0.549546555669007,"Not_significant","Peaks",56518,0.136169981916817,0.127662941074243,89.779746835443,75302,11.2292752536318,"NDUFS1","","",NA,NA,NA,""
"chr20-40687802-40690696","MAFB",0.433593617630137,8.04075718828283,12.1252827057713,0.000504653365110173,0.549546555669007,"Not_significant","Peaks",9718,0.027122965641953,0.0267616566338865,98.2426763110307,14999,9.61580548008435,"MAFB","","",NA,NA,NA,""
"chr2-69386362-69387938","GFPT1",-0.710844468248142,6.98044607513825,12.036031846798,0.000529172786668713,0.549546555669007,"Not_significant","Peaks",38087,0.0860144665461121,0.0825145423678753,93.1126582278481,47566,10.7698945224807,"GFPT1","","",NA,NA,NA,""
"chr7-140229441-140232746","LOC107986854",0.672507644779199,7.01953694256539,12.0121008239986,0.000535983141470633,0.549546555669007,"Not_significant","Peaks",46762,0.114128390596745,0.108072386746281,91.5439421338155,63113,11.0526978939673,"LOC107986854","","",NA,NA,NA,""
"chr22-50189808-50193623","TRABD",-0.618933795330812,7.2044043080883,11.7207674298438,0.000626352311530515,0.549546555669007,"Not_significant","Peaks",58830,0.161980108499096,0.150125539951956,89.3616636528029,89575,11.40284270594,"TRABD","TRABD","Cytotoxic T/NK cells",0.458801285671804,0.000306095135004,5803,"positive"
"chr2-70086086-70088714","PCBP1",0.460835285168149,7.81948776130566,11.6098698047223,0.00066466932283337,0.549546555669007,"Not_significant","Peaks",66578,0.178305605786618,0.164077479246522,87.9605786618445,98603,11.4988671077192,"PCBP1","","",NA,NA,NA,""
"chr4-2412466-2413785","ZFYVE28",-0.655547734922265,7.09701776978685,11.5555176586977,0.00068445205588368,0.549546555669007,"Not_significant","Peaks",43654,0.107786618444846,0.102363987147671,92.1059674502712,59606,10.9955282958212,"ZFYVE28","ZFYVE28","Monocytes",0.589561922570143,1.40320233497952e-05,5525,"positive"
"chr17-21126314-21127707","DHRS7B",-0.79671210060522,6.74475580786453,11.1769766908017,0.000838349434006586,0.611918873239898,"Not_significant","Peaks",29925,0.064372513562387,0.0623854363779586,94.5886075949367,35598,10.480072826558,"DHRS7B","","",NA,NA,NA,""
