"peak_id","best_gene","logFC","logCPM","F","PValue","FDR","direction","modality","n_cells_by_counts","mean_counts","log1p_mean_counts","pct_dropout_by_counts","total_counts","log1p_total_counts","nearest_gene","strongest_linked_gene","strongest_link_major_label","strongest_link_r","strongest_link_fdr","strongest_link_distance_to_tss","strongest_link_direction"
"chr14-77032651-77034323","IRF2BPL",-0.684709093607985,6.03749965798258,14.9183612018641,0.000123798170210407,0.699867756867506,"Not_significant","Peaks",32322,0.0723942133815551,0.0698937314135565,94.1551537070524,40034,10.5975093505067,"IRF2BPL","","",NA,NA,NA,""
"chr1-204452862-204453821","PPP1R15B",0.662172601063948,6.00883440290556,14.5443113806891,0.000150282681615591,0.699867756867506,"Not_significant","Peaks",15979,0.0332332730560579,0.0326929856080235,97.1104882459313,18378,9.81896398746547,"PPP1R15B","","",NA,NA,NA,""
"chr5-67165695-67166928","CD180",-0.604401275587186,6.24216481789432,14.0430018564009,0.000194986371312222,0.699867756867506,"Not_significant","Peaks",28586,0.0625877034358047,0.0607071628200016,94.8307414104882,34611,10.4519557217266,"CD180","","",NA,NA,NA,""
"chr1-226882220-226883342","LOC107985354",0.749820013996801,5.6830983572601,13.4013278702014,0.000272404488418993,0.699867756867506,"Not_significant","Peaks",16034,0.032245931283906,0.0317369441767846,97.1005424954792,17832,9.78880595245251,"LOC107985354","","",NA,NA,NA,""
"chr14-71555257-71556462","SNORD56B",0.713362732533444,5.75143172793506,13.2861202144475,0.000289295160579624,0.699867756867506,"Not_significant","Peaks",14685,0.0299674502712477,0.0295272000638006,97.3444846292948,16572,9.71553014412354,"SNORD56B","","",NA,NA,NA,""
"chr20-51400103-51401125","MIR3194",0.793581610161742,5.56994066776562,13.1697547600225,0.000307431476770264,0.699867756867506,"Not_significant","Peaks",20175,0.0413381555153707,0.0405065740752122,96.3517179023508,22860,10.037187680924,"MIR3194","","",NA,NA,NA,""
"chr11-117827939-117829321","FXYD2",-0.463084520983859,6.68577436968996,12.2274459540264,0.000503816339668813,0.824824432124822,"Not_significant","Peaks",27079,0.0590886075949367,0.057408734124652,95.1032549728752,32676,10.3944267454945,"FXYD2","","",NA,NA,NA,""
"chr1-183956355-183957327","COLGALT2",-0.54359913251797,6.31559756875218,12.1341488688357,0.000529152761334196,0.824824432124822,"Not_significant","Peaks",28674,0.0599294755877034,0.0582023734461625,94.8148282097649,33141,10.4085566391897,"COLGALT2","","",NA,NA,NA,""
"chr3-58034668-58035729","FLNB",1.01080483758097,5.07069949788711,12.0833663038115,0.000543481945173395,0.824824432124822,"Not_significant","Peaks",5323,0.0108318264014467,0.0107735823850962,99.0374321880651,5990,8.69801362208393,"FLNB","","",NA,NA,NA,""
"chr7-140476924-140477958","MKRN1",0.713622946496019,5.63554092565105,11.5414748351946,0.000723195139166459,0.982774726034568,"Not_significant","Peaks",10348,0.0200922242314647,0.0198930391221081,98.1287522603978,11111,9.31578088443418,"MKRN1","MKRN1","Memory T cells",0.527172892233984,1.63725071653821e-05,2094,"positive"
"chr5-178203892-178207018","HNRNPAB",0.378273497796503,7.04676013372791,11.2207146522111,0.000856871715619213,0.982774726034568,"Not_significant","Peaks",51662,0.12719349005425,0.119730906261179,90.6578661844485,70338,11.161081689265,"HNRNPAB","","",NA,NA,NA,""
