"peak_id","best_gene","logFC","logCPM","F","PValue","FDR","direction","modality","n_cells_by_counts","mean_counts","log1p_mean_counts","pct_dropout_by_counts","total_counts","log1p_total_counts","nearest_gene","strongest_linked_gene","strongest_link_major_label","strongest_link_r","strongest_link_fdr","strongest_link_distance_to_tss","strongest_link_direction"
"chr5-151093390-151094847","TNIP1",1.44654127012255,6.61709579818631,60.8801935625955,3.70180910547787e-14,4.51324566139863e-10,"LPS_higher","Peaks",10209,0.0211971066907776,0.0209755731367378,98.1538878842676,11722,9.36930800307183,"TNIP1","","",NA,NA,NA,""
"chr6-159676305-159678722","WTAP",1.61695205265985,6.34421348876129,57.2773900434332,1.83289511217424e-13,9.29500125997878e-10,"LPS_higher","Peaks",2753,0.00649728752260398,0.0064762711339227,99.5021699819168,3593,8.1870210673435,"WTAP","","",NA,NA,NA,""
"chr19-34988739-34989735","GRAMD1A",1.79458388325411,6.2174955559963,58.2645949400817,2.47856142386642e-13,9.29500125997878e-10,"LPS_higher","Peaks",1440,0.00291139240506329,0.00290716251012905,99.7396021699819,1610,7.38461038317697,"GRAMD1A","","",NA,NA,NA,""
"chr12-24719117-24720055","LOC105369698",1.3674991731182,6.66360108422176,56.5320709455986,3.04954109579356e-13,9.29500125997878e-10,"LPS_higher","Peaks",6391,0.0132188065099458,0.0131322004712905,98.8443037974684,7310,8.89713534229332,"LOC105369698","","",NA,NA,NA,""
"chr2-39141017-39142694","SOS1",1.81480865161095,6.00247250000074,48.5059711235845,9.19429301729715e-12,2.24193640933774e-08,"LPS_higher","Peaks",3277,0.00641952983725136,0.00639901241690002,99.4074141048825,3550,8.17498453294309,"SOS1","","",NA,NA,NA,""
"chr17-36104295-36107029","CCL4",1.43627135768716,6.34311464037163,46.4226890006308,2.6018993535921e-11,5.28705948649916e-08,"LPS_higher","Peaks",5971,0.0123327305605787,0.012257301966196,98.920253164557,6820,8.82776136765472,"CCL4","","",NA,NA,NA,""
"chr17-36153500-36154841","LOC101927369",1.33932857592725,6.46714522960158,45.8534428304955,3.84022098556966e-11,6.68856775086648e-08,"LPS_higher","Peaks",2610,0.00527667269439421,0.00526279983731739,99.5280289330922,2918,7.97899637085411,"LOC101927369","","",NA,NA,NA,""
"chr1-113132732-113133738","LRIG2",2.2948314086821,5.68664605858715,44.7491785828519,5.40183437459539e-11,7.90344015523097e-08,"LPS_higher","Peaks",1730,0.00354611211573237,0.00353983948475833,99.6871609403255,1961,7.58171964012531,"LRIG2","","",NA,NA,NA,""
"chr7-44980265-44981847","MYO1G",0.887453516121057,7.4806624089574,46.0121673744962,5.83423239805436e-11,7.90344015523097e-08,"LPS_higher","Peaks",13151,0.0292314647377939,0.0288123729925266,97.6218806509946,16165,9.69066555029379,"MYO1G","MYO1G","B cells",0.487681145612481,0.0001802594697563,1969,"positive"
"chr18-12837720-12838641","LINC01882",2.0261607819223,5.80387155641958,43.5647554808405,9.46759957031779e-11,1.15428973961314e-07,"LPS_higher","Peaks",3340,0.00644846292947559,0.00642776054378185,99.3960216998192,3566,8.17948018535889,"LINC01882","","",NA,NA,NA,""
"chr8-23540886-23542291","SLC25A37",1.44899580665726,6.19741398761837,41.8382136135623,2.15070300327841e-10,2.20715268404303e-07,"LPS_higher","Peaks",2790,0.00665822784810127,0.00663615975118187,99.49547920434,3682,8.21148291644507,"SLC25A37","SLC25A37","Monocytes",0.662332249187721,1.27245918667255e-07,12633,"positive"
"chr3-127750089-127751697","LOC107986127",1.14814139394398,6.65908071318034,41.6633059206995,2.34528657130022e-10,2.20715268404303e-07,"LPS_higher","Peaks",3010,0.00631464737793852,0.00629479352838997,99.4556962025316,3492,8.15851624480683,"LOC107986127","","",NA,NA,NA,""
"chr8-130061934-130062910","ASAP1-IT2",1.48083679381562,6.1852542362405,41.7387051342191,2.35342723856294e-10,2.20715268404303e-07,"LPS_higher","Peaks",1836,0.00366726943942134,0.00366056140196899,99.6679927667269,2028,7.61529833982581,"ASAP1-IT2","","",NA,NA,NA,""
"chr22-24433677-24435140","ADORA2A",0.830214078999069,7.58024937503976,42.9796100954376,2.69309563069879e-10,2.34530156639141e-07,"LPS_higher","Peaks",30737,0.0717631103074141,0.0693050590382663,94.4417721518987,39685,10.5887537596452,"ADORA2A","","",NA,NA,NA,""
"chr2-112839161-112840176","IL1B",0.919826295460476,7.09798154441496,40.9516154890254,3.28156352446335e-10,2.57523822359197e-07,"LPS_higher","Peaks",5064,0.01250452079566,0.0124269849719571,99.0842676311031,6915,8.84159284680318,"IL1B","","",NA,NA,NA,""
"chr18-12879753-12880959","PTPN2",1.05176618502028,6.8048850586674,40.8899236644901,3.3795777212493e-10,2.57523822359197e-07,"LPS_higher","Peaks",4890,0.00995117540687161,0.00990198850338028,99.1157323688969,5503,8.61323037961318,"PTPN2","PTPN2","Cytotoxic T/NK cells",0.482061213842942,9.55470016363938e-05,49286,"positive"
"chr17-8090752-8091764","MIR4314",1.99844831965742,5.75490729638924,39.7098094802702,5.93879340513308e-10,4.25916289384603e-07,"LPS_higher","Peaks",3981,0.00815370705244123,0.00812064517939201,99.2801084990958,4509,8.41405243249672,"MIR4314","","",NA,NA,NA,""
"chr4-121168554-121169560","TNIP3",1.17866674351519,6.52777549539672,39.5109834069689,6.53147312363810e-10,4.42398446241087e-07,"LPS_higher","Peaks",2197,0.00456781193490054,0.00455741114251305,99.602712477396,2526,7.83478810738819,"TNIP3","","",NA,NA,NA,""
"chr2-207334326-207335436","LOC105373851",1.90502766021066,5.81106440998228,38.5895952204041,1.01554872899459e-09,6.51661584415896e-07,"LPS_higher","Peaks",2425,0.00489330922242315,0.00488137589798139,99.5614828209765,2706,7.9035962896143,"LOC105373851","","",NA,NA,NA,""
"chr1-184158456-184159645","LOC124904466",1.49350766107916,6.10730629232622,38.4974706847358,1.08980632959345e-09,6.6434593852017e-07,"LPS_higher","Peaks",1490,0.00307233273056058,0.00306762276095359,99.7305605786618,1699,7.43838353004431,"LOC124904466","","",NA,NA,NA,""
"chr14-81454614-81456036","LINC02308",1.86146666386236,5.78495727920102,37.210048655203,1.96994842649519e-09,1.14369577218235e-06,"LPS_higher","Peaks",1293,0.00258047016274864,0.00257714646619023,99.7661844484629,1427,7.26403014289953,"LINC02308","","",NA,NA,NA,""
"chr19-6800760-6803069","VAV1",0.841806139088238,7.14505659918127,36.2963068563864,3.05879905956624e-09,1.6631325049727e-06,"LPS_higher","Peaks",44197,0.102502712477396,0.0975827886327953,92.0077757685353,56684,10.9452649044517,"VAV1","","",NA,NA,NA,""
"chr12-59595525-59598026","SLC16A7",1.14005111894677,6.50398911961662,36.1792011840715,3.23646777863102e-09,1.6631325049727e-06,"LPS_higher","Peaks",50662,0.123535262206148,0.116480198182,90.8386980108499,68315,11.1318992787391,"SLC16A7","SLC16A7","Monocytes",0.583203798942376,2.12312143474742e-05,747,"positive"
"chr8-55988576-55989848","SNORD54",1.45950968280621,6.08352136619041,36.1583162980093,3.27388288380454e-09,1.6631325049727e-06,"LPS_higher","Peaks",3946,0.00780289330922242,0.00777260817631662,99.2864376130199,4315,8.37008432637803,"SNORD54","","",NA,NA,NA,""
"chr7-20329245-20332210","ITGB8",0.97477984221228,6.84084141506251,35.0964161152521,6.14181328256343e-09,2.99523950164053e-06,"LPS_higher","Peaks",6864,0.0148318264014467,0.0147229104914953,98.7587703435805,8202,9.01225522000275,"ITGB8","ITGB8","Monocytes",0.448476849454024,0.0088132124597142,26,"positive"
"chr1-201403746-201404702","LAD1",1.62574400066604,5.95276160363607,34.8641814754559,7.10821848737279e-09,3.33320768454035e-06,"LPS_higher","Peaks",1065,0.0022748643761302,0.00227228078962935,99.8074141048825,1258,7.13807303404435,"LAD1","","",NA,NA,NA,""
"chr7-1919447-1921033","LOC124901573",-1.41158202388641,6.17944958639028,34.0866050834102,8.89977955932648e-09,4.01874490323365e-06,"Unstim_higher","Peaks",11631,0.0234773960216998,0.0232060408940894,97.8967450271248,12983,9.47147310919443,"LOC124901573","","",NA,NA,NA,""
"chr1-206730443-206731499","IL19",2.07851697925386,5.58823404637586,32.8742266684824,1.60293456649452e-08,6.97963508382186e-06,"LPS_higher","Peaks",1496,0.00301627486437613,0.00301173503397402,99.7294755877034,1668,7.41997992366183,"IL19","","",NA,NA,NA,""
"chr1-12157123-12159086","MIR7846",1.3530644894422,6.10463535229585,32.5965865182675,1.83460439891929e-08,7.71292994193931e-06,"LPS_higher","Peaks",10065,0.0204538878842676,0.020247516440158,98.1799276672694,11311,9.33361938813635,"MIR7846","","",NA,NA,NA,""
"chr5-151084989-151086246","TNIP1",1.07066874067439,6.5297417218045,32.0411327301606,2.47197107588056e-08,1.00460904523786e-05,"LPS_higher","Peaks",4775,0.00977576853526221,0.00972829485377433,99.1365280289331,5406,8.595449689382,"TNIP1","TNIP1","Naive CD4 T cells",0.408495502602984,0.0083223342035035,7959,"positive"
"chr6-137728527-137729575","LOC124901411",1.9420533182002,5.62501579460313,31.5503103438912,3.05380874955232e-08,1.20103342821103e-05,"LPS_higher","Peaks",1122,0.00217902350813743,0.00217665287955858,99.7971066907776,1205,7.09506437728713,"LOC124901411","","",NA,NA,NA,""
"chr6-113634391-113635481","LINC02541",0.961596192197512,6.75221605570379,31.2837225211355,3.82507037156962e-08,1.45735181156802e-05,"LPS_higher","Peaks",4652,0.0100126582278481,0.00996286367349147,99.1587703435805,5537,8.61938870373091,"LINC02541","","",NA,NA,NA,""
"chr17-79038339-79039434","C1QTNF1-AS1",1.42398252363664,6.33279117532837,34.3593668925963,4.00993056087753e-08,1.4814870726733e-05,"LPS_higher","Peaks",1684,0.003750452079566,0.0037434366693342,99.69547920434,2074,7.6377164326648,"C1QTNF1-AS1","","",NA,NA,NA,""
"chr3-43906906-43907935","LOC107986081",1.53115283165127,5.92159489438146,30.7051741658124,4.62215620885473e-08,1.65745083818697e-05,"LPS_higher","Peaks",1462,0.00293309222423146,0.00292879910193395,99.7356238698011,1622,7.39203156751459,"LOC107986081","","",NA,NA,NA,""
"chr7-130912800-130914726","MIR29B1",0.69040540757881,7.49102675615912,30.1655912861051,6.16386381418842e-08,2.14713793207386e-05,"LPS_higher","Peaks",31814,0.0700379746835443,0.0676941382024996,94.2470162748644,38731,10.5644214107314,"MIR29B1","","",NA,NA,NA,""
"chr7-105673155-105674969","EFCAB10",2.14655401403023,5.50374989233971,29.9488993409113,6.67896252953188e-08,2.26194197666813e-05,"LPS_higher","Peaks",3086,0.00598010849909584,0.00596229861833999,99.4419529837251,3307,8.10409905614358,"EFCAB10","","",NA,NA,NA,""
"chr4-83170721-83171938","PLAC8",1.83714528836231,5.65856642763951,29.3889961928721,8.78768286321442e-08,2.89566025590028e-05,"LPS_higher","Peaks",1569,0.0030379746835443,0.00303336936332869,99.7162748643761,1680,7.42714413340862,"PLAC8","","",NA,NA,NA,""
"chr3-153160135-153162823","LOC124909451",-0.63283653926327,7.73526345548324,29.1383468542863,9.93752943696271e-08,3.18837786566972e-05,"Unstim_higher","Peaks",73726,0.205947558770344,0.187265613752874,86.6679927667269,113889,11.6429883492684,"LOC124909451","","",NA,NA,NA,""
"chr9-87463549-87464964","DAPK1",1.8454338860604,5.66426718458459,28.9597776563023,1.11007891362856e-07,3.4702774653742e-05,"LPS_higher","Peaks",914,0.00185533453887884,0.00185361553164718,99.8347197106691,1026,6.93439720992856,"DAPK1","DAPK1","Cytotoxic T/NK cells",0.340585503237172,0.0247734907191307,32971,"positive"
