"peak_id","best_gene","logFC","logCPM","F","PValue","FDR","direction","modality","n_cells_by_counts","mean_counts","log1p_mean_counts","pct_dropout_by_counts","total_counts","log1p_total_counts","nearest_gene","strongest_linked_gene","strongest_link_major_label","strongest_link_r","strongest_link_fdr","strongest_link_distance_to_tss","strongest_link_direction"
"chr16-58128712-58130017","CFAP20",0.449191435204625,6.98199100409517,15.3233530176361,9.06937355860766e-05,0.388990462151674,"Not_significant","Peaks",51699,0.123052441229656,0.116050372110054,90.6511754068716,68048,11.1279833128945,"CFAP20","","",NA,NA,NA,""
"chr18-2636126-2637436","SMCHD1",-0.544502903608738,6.38894651086077,15.0051343548761,0.00010733743072315,0.388990462151674,"Not_significant","Peaks",31225,0.0673851717902351,0.065211892925238,94.3535262206148,37264,10.5258098273158,"SMCHD1","SMCHD1","B cells",0.582540267590193,6.37119043215928e-07,18944,"positive"
"chr9-136799644-136801769","RABL6",-0.507370425971691,6.51566403414283,14.5291655418599,0.000138149729687608,0.388990462151674,"Not_significant","Peaks",29899,0.0662296564195298,0.0641287400820909,94.5933092224231,36625,10.5085136497009,"RABL6","","",NA,NA,NA,""
"chr11-75582863-75584260","MAP6-AS1",-0.783055700168063,5.51971341378446,14.3669862830906,0.000150837408325867,0.388990462151674,"Not_significant","Peaks",13359,0.0271464737793852,0.0267845437362131,97.5842676311031,15012,9.6166717714123,"MAP6-AS1","","",NA,NA,NA,""
"chr19-40826515-40827693","CYP2T1P",-0.885529720349635,5.27871574811176,14.0913028570698,0.000174317935165612,0.388990462151674,"Not_significant","Peaks",12074,0.0256546112115732,0.0253310538278472,97.8166365280289,14187,9.56015181589351,"CYP2T1P","","",NA,NA,NA,""
"chr1-15847169-15848508","SPEN-AS1",0.397323048736212,7.17424695526692,13.8913776351264,0.000193892086529675,0.388990462151674,"Not_significant","Peaks",56638,0.144989150090416,0.135395161057739,89.7580470162749,80179,11.2920293861965,"SPEN-AS1","","",NA,NA,NA,""
"chr10-35194929-35196475","CCNY",0.524043881466551,6.47036603325511,13.8524055438158,0.000199073931500345,0.388990462151674,"Not_significant","Peaks",41346,0.0983399638336347,0.093799916142465,92.5233273056058,54382,10.9038068840057,"CCNY","","",NA,NA,NA,""
"chr16-87778840-87779864","LOC102724467",0.673376053355375,5.890193789703,13.3682845296139,0.000256142673803289,0.437939936535174,"Not_significant","Peaks",23536,0.0502188065099458,0.0489985296121746,95.7439421338156,27771,10.2317835978732,"LOC102724467","","",NA,NA,NA,""
"chr1-231628131-231629872","DISC1",1.01585111941006,5.10647021579825,13.0715160498901,0.000300075740895747,0.456048442663558,"Not_significant","Peaks",6378,0.0123508137432188,0.0122751646911552,98.8466546112116,6830,8.82922635473185,"DISC1","","",NA,NA,NA,""
"chr1-205849694-205850657","PM20D1",0.687708659781618,5.87748342718994,12.5340965621796,0.000420577899676648,0.575266451177719,"Not_significant","Peaks",22288,0.0463417721518987,0.0453000542932062,95.9696202531645,25627,10.1514407827589,"PM20D1","PM20D1","Memory T cells",-0.669571095969055,1.77004372630052e-10,44,"negative"
